,policy_id,incident_hour,num_claims_past_year,num_vehicles_involved,injury_claim,collision_type_front,customer_education,authorities_contacted_ambulance,num_witnesses,incident_month,driver_relationship_child,policy_state_or,authorities_contacted_fire,incident_severity,incident_type_breakin,customer_gender_male,policy_liability,num_insurers_past_5_years,incident_type_theft,policy_state_az,police_report_available,policy_deductable,collision_type_rear,collision_type_side,fraud,driver_relationship_self,incident_type_collision,authorities_contacted_police,num_injuries,incident_dow,policy_state_id,policy_state_wa,customer_age,vehicle_claim,driver_relationship_spouse,policy_annual_premium,collision_type_na,driver_relationship_other,authorities_contacted_none,auto_year,customer_gender_female,total_claim_amount,driver_relationship_na,policy_state_ca,policy_state_nv,incident_day,months_as_customer
0,1843,13,0,2,0.0,0,0,0,3,10,0,0,0,1,0,1,1,3,0,0,0,750,0,1,0,1,1,1,0,1,0,0,22,13500.0,0,3000,0,0,0,2016,0,13500.0,0,1,0,22,10
1,3504,11,0,2,0.0,1,3,0,0,4,0,0,0,1,0,1,3,5,0,0,0,750,0,0,0,1,1,1,0,5,0,0,29,9500.0,0,3000,0,0,0,2012,0,9500.0,0,1,0,6,12
2,248,13,0,3,15000.0,0,3,0,1,3,0,0,0,2,0,1,0,1,0,0,1,750,0,1,0,1,1,1,1,4,0,0,32,35000.0,0,3000,0,0,0,2017,0,50000.0,0,1,0,22,98
3,319,19,0,2,0.0,0,3,0,1,3,0,0,0,1,0,1,0,4,0,0,0,750,0,1,0,1,1,1,0,3,0,0,52,16500.0,0,3000,0,0,0,2015,0,16500.0,0,1,0,7,29
4,1985,15,0,2,0.0,1,1,0,1,11,0,0,0,1,0,1,0,1,0,0,1,750,0,0,0,1,1,1,0,6,0,0,61,26500.0,0,3000,0,0,0,2020,0,26500.0,0,1,0,17,222
5,2069,16,0,2,0.0,0,3,0,2,4,0,0,0,0,0,1,2,1,0,0,0,750,1,0,0,1,1,1,0,0,0,0,43,8500.0,0,3000,0,0,0,2018,0,8500.0,0,1,0,1,203
6,582,16,0,2,8000.0,0,3,0,1,4,0,0,0,1,0,0,0,1,0,1,0,750,1,0,0,1,1,1,1,0,0,0,21,19000.0,0,2800,0,0,0,2018,1,27000.0,0,0,0,1,19
7,759,11,0,1,0.0,0,3,0,0,8,1,0,0,1,0,1,1,2,0,0,0,750,1,0,0,0,1,1,0,2,0,1,66,29000.0,0,2700,0,0,0,2018,0,29000.0,0,0,0,7,7
8,955,6,0,1,0.0,0,4,0,0,7,0,0,0,0,1,0,3,1,0,0,0,750,0,0,0,0,0,1,0,0,0,1,48,6500.0,0,3000,1,0,0,2019,1,6500.0,1,0,0,8,68
9,1091,10,0,2,15000.0,0,1,0,0,5,0,0,0,1,0,0,2,2,0,0,0,750,1,0,0,1,1,1,2,2,0,0,28,18000.0,0,3000,0,0,0,2019,1,33000.0,0,1,0,15,47
10,4462,6,1,3,30000.0,0,4,0,1,4,0,0,0,2,0,1,0,1,0,0,1,750,1,0,0,1,1,1,3,4,0,0,35,30000.0,0,3000,0,0,0,2014,0,60000.0,0,1,0,12,75
