fraud,authorities_contacted_police,collision_type_front,authorities_contacted_fire,injury_claim,vehicle_claim,customer_education,num_injuries,policy_state_or,policy_liability,driver_relationship_self,auto_year,policy_deductable,collision_type_na,num_vehicles_involved,customer_gender_male,police_report_available,driver_relationship_child,policy_state_nv,customer_age,num_claims_past_year,num_insurers_past_5_years,policy_state_ca,policy_state_wa,incident_type_breakin,months_as_customer,authorities_contacted_ambulance,policy_state_az,driver_relationship_na,incident_type_theft,authorities_contacted_none,incident_dow,collision_type_side,customer_gender_female,driver_relationship_spouse,driver_relationship_other,incident_hour,incident_month,incident_type_collision,policy_annual_premium,collision_type_rear,policy_state_id,incident_severity,total_claim_amount,num_witnesses,incident_day
0,1,1,0,7800.0,14694.80935999658,4,0,0,2,1,2014,750,0,5,0,1,0,0,38,1,1,0,1,0,146,0,0,0,0,0,0,0,1,0,0,8,9,1,3000,0,0,1,22494.809359996583,5,23
0,1,0,0,11500.0,10781.87143556746,1,3,0,2,1,2007,750,0,2,0,0,0,0,48,0,1,1,0,0,67,0,0,0,0,0,2,0,1,0,0,14,12,1,3000,1,0,2,22281.87143556746,2,11
0,1,0,0,34800.0,10919.23493333967,3,0,0,0,0,2015,750,0,2,1,1,1,0,30,0,3,1,0,0,19,0,0,0,0,0,4,1,0,0,0,4,10,1,2800,0,0,0,45719.23493333967,0,4
0,0,0,1,19100.0,36884.27754766964,1,0,0,1,1,2018,750,0,1,0,0,0,0,54,0,1,0,0,0,164,0,1,0,0,0,3,0,1,0,0,8,10,1,2650,1,0,2,55984.27754766964,0,24
0,0,0,0,3100.0,34539.806677474066,3,3,0,1,1,2017,750,0,2,0,0,0,0,58,0,1,0,1,0,173,1,0,0,0,0,2,0,1,0,0,16,12,1,3000,1,0,2,37639.806677474066,0,4
0,1,0,0,3700.0,19137.366947407296,3,0,0,0,0,2016,750,1,1,1,0,0,0,39,0,1,1,0,0,119,0,0,1,1,0,1,0,0,0,0,11,12,0,3000,0,0,1,22837.366947407296,0,31
0,1,1,0,19100.0,24537.683502033105,4,3,0,0,1,2014,750,0,3,0,1,0,0,55,0,1,1,0,0,308,0,0,0,0,0,5,0,1,0,0,18,4,1,3000,0,0,2,43637.68350203311,0,27
0,1,0,0,60800.0,36894.745357824206,3,1,0,2,1,2020,750,0,3,1,1,0,0,47,0,2,1,0,0,43,0,0,0,0,0,6,1,0,0,0,12,6,1,3000,0,0,2,97694.7453578242,3,2
0,0,0,0,18300.0,10743.144035993771,1,0,0,0,1,2017,750,0,2,0,0,0,0,64,0,1,1,0,0,213,0,0,0,0,1,3,0,0,0,0,8,10,1,3000,1,0,0,29043.14403599377,0,3
0,1,1,0,47400.0,26016.342304561742,1,1,0,2,1,2017,750,0,3,1,1,0,0,38,0,1,0,1,0,144,0,0,0,0,0,3,0,0,0,0,8,5,1,3000,0,0,2,73416.34230456175,0,30
0,0,1,0,21700.0,13113.061502866793,3,0,0,0,1,2014,750,0,2,1,0,0,0,53,0,1,1,0,0,98,0,0,0,0,1,6,0,0,0,0,8,11,1,3000,0,0,0,34813.0615028668,0,10
0,1,0,0,24200.0,17448.194541376954,2,0,0,0,0,2018,750,1,1,0,0,0,0,44,0,1,1,0,0,41,0,0,1,1,0,3,0,1,0,0,17,3,0,2600,0,0,1,41648.194541376964,0,7
0,1,0,0,12200.0,19770.28631217645,3,0,0,0,0,2018,750,1,1,0,0,0,0,51,0,1,0,0,0,167,0,1,1,1,0,4,0,1,0,0,17,11,0,3000,0,0,1,31970.28631217645,1,29
0,0,0,0,14000.0,1000.0,4,0,1,1,1,2006,750,0,2,0,0,0,0,52,0,1,0,0,0,175,0,0,0,0,1,3,1,1,0,0,4,3,1,3000,0,0,0,15000.0,0,7
0,1,1,0,46900.0,7857.652548972453,0,0,0,3,1,2018,750,0,3,0,1,0,0,19,0,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,14,2,1,2900,0,0,0,54757.65254897245,2,19
0,1,0,0,25800.0,10415.334832794808,2,0,0,0,0,2018,750,1,1,1,0,0,0,43,1,3,0,0,1,32,0,1,1,0,0,6,0,0,0,0,20,12,0,3000,0,0,0,36215.3348327948,0,29
0,1,0,0,24400.0,7784.365771219169,3,0,0,1,1,2014,750,0,2,0,1,0,0,33,0,2,0,1,0,16,0,0,0,0,0,1,0,0,0,0,11,2,1,3000,1,0,0,32184.36577121917,0,12
0,1,0,0,1700.0,30577.57357487293,3,4,0,1,0,2017,750,0,3,0,1,0,0,57,0,1,1,0,0,135,0,0,0,0,0,1,0,1,1,0,5,6,1,3000,1,0,2,32277.57357487293,3,18
0,0,1,0,7900.0,2254.27947733294,1,0,0,0,1,2007,750,0,2,0,0,0,0,51,0,1,1,0,0,69,0,0,0,0,1,5,0,1,0,0,13,10,1,2650,0,0,0,10154.27947733294,1,26
0,1,0,0,24900.0,15743.959977231514,3,0,0,2,0,2017,750,1,1,0,0,0,0,38,0,1,0,1,1,157,0,0,1,0,0,5,0,1,0,0,22,12,0,3000,0,0,0,40643.95997723151,0,14
0,1,0,0,55500.0,19754.825675649296,3,0,0,3,0,2018,750,0,2,0,0,0,0,30,0,2,0,0,0,59,0,1,0,0,0,0,1,1,1,0,13,1,1,3000,0,0,1,75254.82567564929,1,28
0,1,0,0,25400.0,16961.988096590892,3,0,0,0,0,2015,750,1,1,0,0,0,0,57,0,1,1,0,0,217,0,0,1,1,0,1,0,1,0,0,13,11,0,3000,0,0,1,42361.98809659089,0,5
0,1,1,0,8900.0,18261.120923069164,3,1,0,2,1,2016,750,0,2,0,1,0,0,45,0,1,0,1,0,233,0,0,0,0,0,3,0,0,0,0,14,1,1,3000,0,0,1,27161.120923069164,2,24
0,1,0,0,7200.0,39819.82331890176,3,2,0,0,1,2017,750,0,4,1,1,0,0,29,0,4,1,0,0,22,0,0,0,0,0,1,1,0,0,0,4,4,1,3000,0,0,2,47019.823318901756,3,16
0,1,0,0,9500.0,16855.622792918402,2,1,0,0,0,2016,750,0,2,0,1,0,0,27,0,3,1,0,0,3,0,0,0,0,0,0,0,1,1,0,10,10,1,2950,1,0,1,26355.6227929184,0,14
0,1,0,0,22700.0,13699.780026478777,3,0,0,1,1,2015,750,0,2,0,0,0,0,45,0,1,1,0,0,55,0,0,0,0,0,6,1,1,0,0,12,11,1,3000,0,0,1,36399.78002647877,0,17
0,1,0,0,9700.0,13986.11755301367,1,0,0,1,0,2014,750,0,1,0,0,1,0,20,0,5,0,1,0,21,0,0,0,0,0,4,1,1,0,0,16,8,1,3000,0,0,1,23686.117553013668,0,9
0,1,0,0,14500.0,15395.891425083248,3,0,0,0,1,2014,750,0,2,0,1,0,0,33,0,1,1,0,0,164,0,0,0,0,0,0,0,0,0,0,5,5,1,2850,1,0,1,29895.891425083246,2,27
0,0,0,0,38300.0,11982.751462069367,3,0,0,3,1,2018,750,0,1,0,0,0,0,69,0,1,1,0,0,95,0,0,0,0,1,0,1,1,0,0,9,6,1,3000,0,0,0,50282.75146206936,0,10
0,1,1,0,11300.0,10095.560763105575,3,0,0,1,1,2019,750,0,2,0,0,0,0,61,0,1,1,0,0,295,0,0,0,0,0,0,0,1,0,0,18,11,1,3000,0,0,0,21395.560763105572,0,11
0,1,1,0,2800.0,14562.519775864546,1,3,0,0,1,2015,750,0,2,0,0,0,0,33,0,4,1,0,0,13,0,0,0,0,0,4,0,1,0,0,21,4,1,2750,0,0,1,17362.519775864544,0,12
0,1,1,0,42700.0,16838.555182207358,1,0,0,2,0,2020,750,0,4,1,1,0,0,56,0,1,1,0,0,120,0,0,0,0,0,2,0,0,1,0,11,4,1,2900,0,0,0,59538.55518220736,2,17
0,1,0,0,5300.0,10157.653768906825,3,0,0,1,1,2018,750,0,3,0,1,0,0,51,0,1,0,0,0,136,0,1,0,0,0,0,0,1,0,0,13,9,1,3000,1,0,0,15457.653768906825,1,23
0,1,1,0,18400.0,9758.056907906608,3,3,0,2,1,2013,750,0,2,0,1,0,0,63,0,1,1,0,0,189,0,0,0,0,0,6,0,1,0,0,4,12,1,2900,0,0,1,28158.05690790661,0,8
0,0,1,0,48200.0,13701.990998878226,1,0,0,0,1,2020,750,0,2,1,0,0,0,67,0,1,1,0,0,220,0,0,0,0,1,2,0,0,0,0,9,10,1,3000,0,0,0,61901.990998878224,1,2
0,1,0,0,8400.0,7784.911447980927,3,0,0,0,0,2013,750,1,1,0,0,0,0,20,0,2,1,0,1,15,0,0,1,0,0,5,0,1,0,0,7,4,0,3000,0,0,0,16184.911447980923,0,20
1,1,0,0,15800.0,24580.246415385718,3,0,0,2,0,2019,750,1,1,1,0,0,0,47,1,3,1,0,1,24,0,0,1,0,0,1,0,0,0,0,13,6,0,3000,0,0,1,40380.246415385714,0,18
0,1,0,0,10900.0,17380.84986798357,3,0,0,0,0,2017,750,1,1,0,0,0,0,62,0,1,1,0,0,223,0,0,1,1,0,1,0,1,0,0,5,4,0,3000,0,0,1,28280.84986798357,0,16
0,0,1,0,16800.0,17853.645713119884,3,0,0,0,0,2020,750,0,1,0,0,1,0,46,0,1,0,0,0,143,0,1,0,0,1,5,0,1,0,0,14,11,1,3000,0,0,0,34653.645713119884,0,30
0,1,1,0,5700.0,7074.481772801933,1,0,0,0,0,2013,750,0,3,1,1,0,0,21,0,2,1,0,0,34,0,0,0,0,0,0,0,0,1,0,19,1,1,3000,0,0,0,12774.481772801932,3,28
0,1,0,0,13200.0,14848.770127352662,3,0,0,1,1,2014,750,0,2,0,0,0,0,59,0,1,1,0,0,142,0,0,0,0,0,1,0,1,0,0,7,4,1,3000,1,0,1,28048.77012735266,1,2
0,1,0,0,5500.0,19605.371345408603,3,0,0,0,1,2018,750,0,2,1,0,0,0,51,0,1,1,0,0,205,0,0,0,0,0,3,1,0,0,0,15,1,1,3000,0,0,1,25105.3713454086,2,10
0,1,1,0,16200.0,8397.351950930466,4,0,0,0,1,2015,750,0,2,1,0,0,0,29,3,1,1,0,0,58,0,0,0,0,0,0,0,0,0,0,6,5,1,3000,0,0,0,24597.351950930468,0,13
0,0,1,1,14000.0,37419.98733326036,1,0,0,1,1,2020,750,0,1,0,0,0,0,45,0,1,0,1,0,58,0,0,0,0,0,4,0,0,0,0,8,11,1,3000,0,0,2,51419.98733326036,0,29
0,1,0,0,19600.0,7774.824165507516,3,0,0,2,0,2017,750,1,1,0,0,0,0,65,0,1,0,1,1,144,0,0,1,0,0,6,0,0,0,0,15,5,0,2700,0,0,0,27374.824165507518,0,12
0,1,1,0,12900.0,11014.804396689393,3,0,0,0,0,2015,750,0,3,1,1,0,0,34,0,1,1,0,0,39,0,0,0,0,0,1,0,0,1,0,10,9,1,3000,0,0,0,23914.80439668939,1,10
0,1,0,0,16800.0,16912.407349623718,4,0,0,2,1,2012,750,0,2,0,0,0,0,46,0,1,1,0,0,77,0,0,0,0,0,4,1,1,0,0,2,1,1,2950,0,0,1,33712.40734962372,2,18
