fraud,incident_hour,num_claims_past_year,num_vehicles_involved,injury_claim,collision_type_front,customer_education,authorities_contacted_ambulance,num_witnesses,incident_month,driver_relationship_child,policy_state_or,authorities_contacted_fire,incident_severity,incident_type_breakin,customer_gender_male,policy_liability,num_insurers_past_5_years,incident_type_theft,policy_state_az,police_report_available,policy_deductable,collision_type_rear,collision_type_side,driver_relationship_self,incident_type_collision,authorities_contacted_police,num_injuries,incident_dow,policy_state_id,policy_state_wa,customer_age,vehicle_claim,driver_relationship_spouse,policy_annual_premium,collision_type_na,driver_relationship_other,authorities_contacted_none,auto_year,customer_gender_female,total_claim_amount,driver_relationship_na,policy_state_ca,policy_state_nv,incident_day,months_as_customer
0,5,0,2,0.0,0,3,0,1,5,0,0,0,1,0,1,1,3,0,0,1,750,0,1,1,1,1,0,4,0,1,22,18500.0,0,2900,0,0,0,2017,0,18500.0,0,0,0,10,19
0,14,0,3,25000.0,0,3,0,2,9,0,0,0,2,0,1,1,1,0,0,1,750,0,1,1,1,1,1,6,0,1,39,28500.0,0,2900,0,0,0,2015,0,53500.0,0,0,0,22,69
0,19,0,2,0.0,1,3,0,0,12,0,0,0,0,0,1,3,2,0,0,0,750,0,0,1,1,0,0,6,0,0,58,7000.0,0,3000,0,0,1,2018,0,7000.0,0,1,0,8,17
0,7,0,1,0.0,1,1,0,0,2,0,0,0,0,0,1,3,1,0,0,0,750,0,0,1,1,0,0,1,0,1,57,10000.0,0,2900,0,0,1,2018,0,10000.0,0,0,0,26,53
0,12,0,3,0.0,1,3,0,0,1,0,0,0,1,0,1,0,1,0,0,1,750,0,0,1,1,1,0,3,0,0,63,13500.0,0,3000,0,0,0,2015,0,13500.0,0,1,0,24,136
0,5,0,1,0.0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,750,0,0,0,1,0,0,1,0,0,57,12500.0,0,2250,0,1,1,2007,1,12500.0,0,1,0,14,164
0,6,0,1,0.0,0,3,0,0,3,0,0,0,0,0,1,0,1,0,0,0,750,1,0,1,1,0,0,4,0,0,73,7000.0,0,3000,0,0,1,2016,0,7000.0,0,1,0,8,27
0,13,0,3,0.0,1,1,0,2,10,0,0,0,0,0,1,0,1,0,0,1,750,0,0,1,1,1,0,0,0,0,53,13500.0,0,3000,0,0,0,2018,0,13500.0,0,1,0,14,211
0,18,0,5,6000.0,1,3,0,5,9,0,0,0,2,0,0,1,1,0,0,1,750,0,0,0,1,1,4,4,1,0,57,39000.0,0,3000,0,1,0,2018,1,45000.0,0,0,0,27,208
0,22,0,3,15000.0,1,3,0,2,10,0,0,0,2,0,1,1,1,0,0,1,750,0,0,1,1,1,1,0,0,1,52,32500.0,0,3000,0,0,0,2017,0,47500.0,0,0,0,7,64
0,19,0,1,0.0,1,4,0,0,9,0,0,0,0,0,1,0,1,0,0,0,750,0,0,1,1,0,0,4,0,0,51,16500.0,0,2850,0,0,1,2019,0,16500.0,0,1,0,20,76
0,7,0,2,0.0,0,1,0,0,6,0,0,0,0,0,0,2,1,0,0,0,750,1,0,1,1,0,0,6,0,0,36,15000.0,0,3000,0,0,1,2019,1,15000.0,0,1,0,30,64
0,7,0,2,500.0,0,4,0,1,12,0,0,0,1,0,0,3,2,0,0,0,750,0,1,0,1,1,1,3,0,0,58,12000.0,1,2700,0,0,0,2019,1,12500.0,0,1,0,5,48
0,8,0,2,0.0,1,2,0,0,6,0,0,0,0,0,1,0,1,0,0,0,750,0,0,0,1,0,0,4,0,0,69,10000.0,1,3000,0,0,1,2020,0,10000.0,0,1,0,7,80
0,0,0,1,0.0,0,2,0,1,8,0,0,0,1,0,1,0,1,1,0,0,750,0,0,0,0,1,0,4,0,0,60,14500.0,0,3000,1,0,0,2016,0,14500.0,1,1,0,9,135
1,8,0,3,0.0,1,4,0,0,4,1,0,0,1,0,1,1,2,0,1,1,750,0,0,0,1,1,0,6,0,0,52,19000.0,0,2500,0,0,0,2015,0,19000.0,0,0,0,28,9
0,7,0,3,0.0,1,1,0,2,8,0,0,0,1,0,1,2,1,0,0,1,750,0,0,1,1,1,0,3,0,0,65,12000.0,0,2900,0,0,0,2012,0,12000.0,0,1,0,8,110
0,14,0,3,6000.0,0,1,0,0,2,0,0,0,2,0,1,0,1,0,1,1,750,0,1,1,1,1,1,1,0,0,72,19500.0,0,2350,0,0,0,2008,0,25500.0,0,0,0,26,204
0,11,0,3,25000.0,0,3,0,2,1,1,0,0,1,0,0,1,1,0,0,1,750,1,0,0,1,1,1,6,0,0,49,19000.0,0,2900,0,0,0,2018,1,44000.0,0,0,1,20,241
0,4,0,1,0.0,0,1,0,0,8,0,0,0,1,0,1,1,1,0,0,0,750,1,0,1,1,1,0,2,0,0,63,26500.0,0,2900,0,0,0,2018,0,26500.0,0,1,0,14,224
0,17,1,2,0.0,0,1,0,2,12,0,0,0,0,0,1,2,1,0,0,1,750,1,0,1,1,1,0,6,0,0,72,14500.0,0,3000,0,0,0,2012,0,14500.0,0,1,0,8,228
0,5,0,2,0.0,0,2,0,0,11,1,0,0,1,0,0,0,1,0,0,0,750,0,1,0,1,1,0,4,0,0,66,13000.0,0,3000,0,0,0,2015,1,13000.0,0,1,0,1,182
0,18,0,3,0.0,0,1,0,0,11,0,0,0,1,0,0,1,1,0,0,1,750,0,1,1,1,1,0,5,0,0,32,15500.0,0,3000,0,0,0,2018,1,15500.0,0,1,0,9,74
0,16,0,1,0.0,0,3,0,0,10,0,0,0,1,0,0,0,5,1,0,0,750,0,0,0,0,1,0,2,0,0,36,15500.0,0,2600,1,0,0,2014,1,15500.0,1,1,0,30,1
0,19,0,3,0.0,0,3,0,3,1,1,0,0,1,0,1,0,1,0,0,1,750,1,0,0,1,1,0,1,0,0,55,17000.0,0,2650,0,0,0,2020,0,17000.0,0,1,0,29,118
0,19,0,2,0.0,0,4,0,2,4,0,1,0,1,0,1,1,1,0,0,1,750,1,0,0,1,1,0,5,0,0,38,5000.0,0,2950,0,1,0,2011,0,5000.0,0,0,0,6,71
0,9,0,2,0.0,0,3,0,3,10,0,0,0,0,0,1,0,1,0,1,0,750,0,1,1,1,0,0,5,0,0,54,12000.0,0,3000,0,0,1,2019,0,12000.0,0,0,0,19,106
0,6,0,3,2000.0,1,3,0,2,6,0,1,0,2,0,1,3,1,0,0,1,750,0,0,0,1,1,3,5,0,0,36,38500.0,1,3000,0,0,0,2018,0,40500.0,0,0,0,22,67
0,14,0,3,3500.0,1,3,0,2,1,0,0,0,2,0,1,2,1,0,0,1,750,0,0,1,1,1,1,1,0,0,35,8000.0,0,3000,0,0,0,2004,0,11500.0,0,1,0,22,138
0,8,0,2,0.0,1,2,0,0,10,0,1,0,0,0,1,2,1,0,0,0,750,0,0,1,1,0,0,2,0,0,55,11000.0,0,3000,0,0,1,2016,0,11000.0,0,0,0,16,200
0,7,0,3,0.0,1,4,0,1,11,0,0,0,0,0,0,0,1,0,0,1,750,0,0,1,1,1,0,3,0,0,49,4500.0,0,2500,0,0,0,2014,1,4500.0,0,1,0,21,131
0,6,0,2,0.0,1,4,0,0,11,0,0,0,1,0,0,3,1,0,0,0,750,0,0,1,1,1,0,4,0,1,58,7000.0,0,2400,0,0,0,2014,1,7000.0,0,0,0,15,131
0,10,0,4,3000.0,1,4,0,3,12,1,1,0,2,0,0,1,1,0,0,1,750,0,0,0,1,1,4,0,0,0,71,22000.0,0,3000,0,0,0,2014,1,25000.0,0,0,0,23,78
0,17,0,1,0.0,0,4,0,0,4,0,0,0,0,0,0,0,1,0,0,0,750,1,0,1,1,0,0,3,0,0,48,14000.0,0,3000,0,0,1,2017,1,14000.0,0,1,0,18,61
0,18,0,2,0.0,0,4,0,1,3,1,0,0,0,0,1,1,1,0,0,0,750,0,1,0,1,0,0,4,0,0,45,5500.0,0,2500,0,0,1,2008,0,5500.0,0,1,0,22,75
0,15,0,2,0.0,1,4,0,0,5,0,1,0,0,0,1,1,1,0,0,0,750,0,0,1,1,0,0,4,0,0,58,5000.0,0,2600,0,0,1,2012,0,5000.0,0,0,0,17,422
0,18,0,2,0.0,0,3,0,0,1,0,0,0,0,0,0,3,1,0,0,0,750,1,0,1,1,0,0,4,0,1,50,5500.0,0,3000,0,0,1,2016,1,5500.0,0,0,0,11,150
